country,index,value
Bahamas,HMT.new,67.1
Egypt,HMT.new,13.5
El Salvador,HMT.new,35.5
Grenada,HMT.new,41.9
South Africa,HMT.new,58.8
Saint Lucia,HMT.new,51.8
Turkey,HMT.new,61.5
Morocco,HMT.new,28.9
Belize,HMT.new,54.5
Georgia,HMT.new,49.9
Botswana,HMT.new,39.8
Namibia,HMT.new,44.5
Kyrgyzstan,HMT.new,40.8
Iraq,HMT.new,29.6
Bhutan,HMT.new,43.3
Nicaragua,HMT.new,34.5
Sri Lanka,HMT.new,72.4
Oman,HMT.new,37.0
Philippines,HMT.new,48.0
Malawi,HMT.new,37.4
Burkina Faso,HMT.new,29.7
Tajikistan,HMT.new,15.7
Equatorial Guinea,HMT.new,40.1
Indonesia,HMT.new,34.6
Honduras,HMT.new,20.7
Kiribati,HMT.new,37.0
Sao Tome and Principe,HMT.new,45.0
China,HMT.new,37.6
Samoa,HMT.new,68.6
Qatar,HMT.new,59.2
Zimbabwe,HMT.new,32.6
Central African Republic,HMT.new,24.0
Dem. Rep. Congo,HMT.new,36.1
Guyana,HMT.new,24.9
Maldives,HMT.new,55.4
Uganda,HMT.new,41.9
Timor-Leste,HMT.new,34.3
Sudan,HMT.new,7.1
Laos,HMT.new,34.7
Zambia,HMT.new,42.4
Kenya,HMT.new,50.6
Ethiopia,HMT.new,35.8
Fiji,HMT.new,77.0
Mozambique,HMT.new,23.7
Eswatini,HMT.new,40.2
Rwanda,HMT.new,45.2
Cambodia,HMT.new,35.0
Cameroon,HMT.new,36.1
Viet Nam,HMT.new,47.8
Pakistan,HMT.new,23.0
Micronesia,HMT.new,41.5
Cabo Verde,HMT.new,59.5
Nepal,HMT.new,27.2
Papua New Guinea,HMT.new,60.3
Mongolia,HMT.new,33.2
Comoros,HMT.new,47.1
Guatemala,HMT.new,30.6
Tanzania,HMT.new,43.6
Nigeria,HMT.new,51.5
Niger,HMT.new,27.3
Marshall Islands,HMT.new,46.6
Republic of Congo,HMT.new,45.1
Senegal,HMT.new,47.7
Eritrea,HMT.new,38.3
Benin,HMT.new,36.8
Angola,HMT.new,37.3
Togo,HMT.new,43.7
Mali,HMT.new,32.5
Guinea-Bissau,HMT.new,28.5
Bangladesh,HMT.new,23.2
Vanuatu,HMT.new,45.6
Djibouti,HMT.new,46.2
Lesotho,HMT.new,25.0
Gambia,HMT.new,37.1
Mauritania,HMT.new,55.8
Ghana,HMT.new,55.3
India,HMT.new,21.0
Burundi,HMT.new,35.8
Haiti,HMT.new,12.1
Solomon Islands,HMT.new,25.5
Chad,HMT.new,29.1
Madagascar,HMT.new,33.0
Guinea,HMT.new,32.9
Cote d'Ivoire,HMT.new,44.9
Sierra Leone,HMT.new,37.4
Afghanistan,HMT.new,0.0
Myanmar,HMT.new,38.2
Liberia,HMT.new,37.3
Denmark,WMG.new,99.8
Luxembourg,WMG.new,96.2
Switzerland,WMG.new,99.0
United Kingdom,WMG.new,92.9
France,WMG.new,94.8
Austria,WMG.new,97.2
Finland,WMG.new,97.7
Sweden,WMG.new,99.8
Norway,WMG.new,97.6
Germany,WMG.new,97.9
Netherlands,WMG.new,100.0
Japan,WMG.new,86.5
Australia,WMG.new,77.3
Spain,WMG.new,89.0
Belgium,WMG.new,97.6
Ireland,WMG.new,81.7
Iceland,WMG.new,84.8
Slovenia,WMG.new,83.8
New Zealand,WMG.new,68.0
Czech Republic,WMG.new,89.5
Italy,WMG.new,83.7
Canada,WMG.new,84.7
Malta,WMG.new,96.7
United States of America,WMG.new,48.3
Greece,WMG.new,83.0
Slovakia,WMG.new,80.6
Portugal,WMG.new,90.2
South Korea,WMG.new,96.7
Israel,WMG.new,72.2
Estonia,WMG.new,74.4
Cyprus,WMG.new,77.5
Romania,WMG.new,65.8
Hungary,WMG.new,89.2
Croatia,WMG.new,80.0
Lithuania,WMG.new,87.8
Latvia,WMG.new,61.4
Poland,WMG.new,91.1
Seychelles,WMG.new,0.0
Singapore,WMG.new,99.6
Taiwan,WMG.new,0.0
Bulgaria,WMG.new,83.6
